Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 260481

Palabra: "-cynthia Frec: 0 LogProb: 0
Palabra: "is Frec: 0 LogProb: 0
Palabra: "it Frec: 0 LogProb: 0
Palabra: "the Frec: 0 LogProb: 0
Palabra: "we Frec: 0 LogProb: 0
Palabra: "workers Frec: 0 LogProb: 0
Palabra: $ Frec: 526 LogProb: -6.349407661910082
Palabra: $2000 Frec: 0 LogProb: 0
Palabra: $a Frec: 0 LogProb: 0
Palabra: &amp Frec: 0 LogProb: 0
Palabra: '$7 Frec: 0 LogProb: 0
Palabra: 'cause Frec: 0 LogProb: 0
Palabra: 'cos Frec: 0 LogProb: 0
Palabra: 'cuz Frec: 0 LogProb: 0
Palabra: 'em Frec: 4 LogProb: -11.007170298017344
Palabra: (1/ Frec: 0 LogProb: 0
Palabra: (1/1 Frec: 0 LogProb: 0
Palabra: (= Frec: 0 LogProb: 0
Palabra: (if Frec: 0 LogProb: 0
Palabra: + Frec: 116 LogProb: -7.854434275653688
Palabra: +0.5 Frec: 0 LogProb: 0
Palabra: +0.8 Frec: 0 LogProb: 0
Palabra: +1 Frec: 0 LogProb: 0
Palabra: +10%.yoy Frec: 0 LogProb: 0
Palabra: +100k Frec: 0 LogProb: 0
Palabra: +116 Frec: 0 LogProb: 0
Palabra: +15 Frec: 0 LogProb: 0
Palabra: +20 Frec: 0 LogProb: 0
Palabra: +23 Frec: 0 LogProb: 0
Palabra: +254720472374 Frec: 0 LogProb: 0
Palabra: +254776371271 Frec: 0 LogProb: 0
Palabra: +27 Frec: 2 LogProb: -11.517995921783335
Palabra: +30 Frec: 0 LogProb: 0
Palabra: +30,000 Frec: 0 LogProb: 0
Palabra: +43 Frec: 0 LogProb: 0
Palabra: +50 Frec: 0 LogProb: 0
Palabra: +574 Frec: 0 LogProb: 0
Palabra: +6 Frec: 0 LogProb: 0
Palabra: +6.7 Frec: 0 LogProb: 0
Palabra: +61 Frec: 0 LogProb: 0
Palabra: +8 Frec: 0 LogProb: 0
Palabra: +8,327 Frec: 0 LogProb: 0
Palabra: +86 Frec: 0 LogProb: 0
Palabra: +8615777877688 Frec: 0 LogProb: 0
Palabra: +8615999929736 Frec: 0 LogProb: 0
Palabra: +91 Frec: 0 LogProb: 0
Palabra: +917730044445 Frec: 0 LogProb: 0
Palabra: +923219537814 Frec: 0 LogProb: 0
Palabra: +94754 Frec: 0 LogProb: 0
Palabra: +94754284300 Frec: 0 LogProb: 0
Palabra: +971 Frec: 0 LogProb: 0
Palabra: ,the Frec: 0 LogProb: 0
Palabra: -"the Frec: 0 LogProb: 0
Palabra: -$10 Frec: 0 LogProb: 0
Palabra: -$26 Frec: 0 LogProb: 0
Palabra: -$6.98 Frec: 0 LogProb: 0
Palabra: -$79 Frec: 0 LogProb: 0
Palabra: -&gt Frec: 2 LogProb: -11.517995921783335
Palabra: --&gt Frec: 4 LogProb: -11.007170298017344
Palabra: ---&gt Frec: 0 LogProb: 0
Palabra: ----&gt Frec: 2 LogProb: -11.517995921783335
Palabra: --and Frec: 0 LogProb: 0
Palabra: -/+ Frec: 0 LogProb: 0
Palabra: -0.01 Frec: 0 LogProb: 0
Palabra: -0.1 Frec: 0 LogProb: 0
Palabra: -0.27 Frec: 0 LogProb: 0
Palabra: -0.3 Frec: 0 LogProb: 0
Palabra: -0.6 Frec: 0 LogProb: 0
Palabra: -1 Frec: 2 LogProb: -11.517995921783335
Palabra: -11.6 Frec: 0 LogProb: 0
Palabra: -14 Frec: 0 LogProb: 0
Palabra: -15 Frec: 2 LogProb: -11.517995921783335
Palabra: -19 Frec: 17 LogProb: -9.72623645255528
Palabra: -2.0 Frec: 0 LogProb: 0
Palabra: -2.4 Frec: 0 LogProb: 0
Palabra: -2.93 Frec: 0 LogProb: 0
Palabra: -20 Frec: 0 LogProb: 0
Palabra: -20.5 Frec: 0 LogProb: 0
Palabra: -2020 Frec: 0 LogProb: 0
Palabra: -26.69 Frec: 0 LogProb: 0
Palabra: -3 Frec: 0 LogProb: 0
Palabra: -3.04 Frec: 0 LogProb: 0
Palabra: -31.07 Frec: 0 LogProb: 0
Palabra: -36.17 Frec: 0 LogProb: 0
Palabra: -4 Frec: 0 LogProb: 0
Palabra: -4.8 Frec: 0 LogProb: 0
Palabra: -40 Frec: 0 LogProb: 0
Palabra: -5 Frec: 0 LogProb: 0
Palabra: -50 Frec: 0 LogProb: 0
Palabra: -6.6 Frec: 0 LogProb: 0
Palabra: -65 Frec: 0 LogProb: 0
Palabra: -80 Frec: 0 LogProb: 0
Palabra: -a Frec: 3 LogProb: -11.230313849331553
Palabra: -amazon Frec: 0 LogProb: 0
Palabra: -americans Frec: 0 LogProb: 0
Palabra: -an Frec: 0 LogProb: 0
Palabra: -as Frec: 0 LogProb: 0
Palabra: -avoid Frec: 0 LogProb: 0
Palabra: -aw Frec: 0 LogProb: 0
Palabra: -b Frec: 0 LogProb: 0
Palabra: -bg Frec: 0 LogProb: 0
Palabra: -blocked Frec: 0 LogProb: 0
Palabra: -bnm Frec: 0 LogProb: 0
Palabra: -both Frec: 0 LogProb: 0
Palabra: -breaking Frec: 0 LogProb: 0
Palabra: -build Frec: 0 LogProb: 0
Palabra: -business Frec: 0 LogProb: 0
Palabra: -cancer Frec: 0 LogProb: 0
